txn_id,value_date,description,utr,credit_paise,debit_paise
BNK00001,2026-08-05,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR348938960038,UTR348938960038,822900,0
BNK00002,2026-08-05,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR372898958472,UTR372898958472,938800,0
BNK00003,2026-08-05,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR202343291586,UTR202343291586,554302,0
BNK00004,2026-08-05,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR680146565159,UTR680146565159,708573,0
BNK00005,2026-08-05,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR034336700701,UTR034336700701,220081,0
BNK00006,2026-08-05,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR570057189887,UTR570057189887,712673,0
BNK00007,2026-08-06,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR070239244516,UTR070239244516,681200,0
BNK00008,2026-08-06,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR496486076567,UTR496486076567,430800,0
BNK00009,2026-08-06,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR761149948850,UTR761149948850,838826,0
BNK00010,2026-08-06,RAZORPAY PAYOUT CONSOLIDATED 2026-08-06,,1464525,0
BNK00011,2026-08-06,RAZORPAY PAYOUT CONSOLIDATED 2026-08-06,,209926,0
BNK00012,2026-08-07,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR222038116445,UTR222038116445,579200,0
BNK00013,2026-08-07,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR743620592843,UTR743620592843,774383,0
BNK00014,2026-08-10,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR357174007206,UTR357174007206,876417,0
BNK00015,2026-08-10,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR821747792504,UTR821747792504,790786,0
BNK00016,2026-08-10,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR936587059044,UTR936587059044,846246,0
BNK00017,2026-08-10,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR800750712724,UTR800750712724,197721,0
BNK00018,2026-08-10,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR104207133222,UTR104207133222,117461,0
BNK00019,2026-08-10,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR337476402213,UTR337476402213,676600,0
BNK00020,2026-08-10,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR135410492981,UTR135410492981,546198,0
BNK00021,2026-08-11,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR088864114406,UTR088864114406,628500,0
BNK00022,2026-08-11,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR516967742722,UTR516967742722,138300,0
BNK00023,2026-08-11,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR144756401173,UTR144756401173,280422,0
BNK00024,2026-08-11,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR553135394734,UTR553135394734,253083,0
BNK00025,2026-08-11,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR000863950715,UTR000863950715,123515,0
BNK00026,2026-08-11,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR882538425563,UTR882538425563,59756,0
BNK00027,2026-08-11,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR178259006358,UTR178259006358,362928,0
BNK00028,2026-08-11,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR809202103835,UTR809202103835,860306,0
BNK00029,2026-08-11,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR908669938879,UTR908669938879,495037,0
BNK00030,2026-08-11,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR549617911164,UTR549617911164,672351,0
BNK00031,2026-08-11,RAZORPAY PAYOUT CONSOLIDATED 2026-08-11,,1536170,0
BNK00032,2026-08-11,RAZORPAY PAYOUT CONSOLIDATED 2026-08-11,,1802052,0
BNK00033,2026-08-11,RAZORPAY PAYOUT CONSOLIDATED 2026-08-11,,556796,0
BNK00034,2026-08-12,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR944555878451,UTR944555878451,76159,0
BNK00035,2026-08-12,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR803422441364,UTR803422441364,737768,0
BNK00036,2026-08-12,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR087642442441,UTR087642442441,444554,0
BNK00037,2026-08-12,RAZORPAY PAYOUT CONSOLIDATED 2026-08-12,,196001,0
BNK00038,2026-08-13,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR132912564420,UTR132912564420,633100,0
BNK00039,2026-08-13,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR759427035741,UTR759427035741,258500,0
BNK00040,2026-08-13,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR238433282095,UTR238433282095,926700,0
BNK00041,2026-08-13,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR456387036755,UTR456387036755,80553,0
BNK00042,2026-08-13,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR460424810490,UTR460424810490,589550,0
BNK00043,2026-08-14,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR829469091005,UTR829469091005,671800,0
BNK00044,2026-08-14,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR265898213440,UTR265898213440,98100,0
BNK00045,2026-08-14,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR188074329669,UTR188074329669,388900,0
BNK00046,2026-08-14,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR666862610048,UTR666862610048,860208,0
BNK00047,2026-08-14,RAZORPAY PAYOUT CONSOLIDATED 2026-08-14,,102522,0
