order_id,payment_id,amount_paise,currency,method,status,captured_at
order_4NS8DAoepGVju2,pay_AfDkNgoEHfgQlx,729900,INR,card,paid,2026-08-03
order_9IRNtoYd53pL1Z,pay_Nr4l89PhGiEj1o,567700,INR,netbanking,paid,2026-08-03
order_GOuvGvFyETRZYX,pay_sPyXLrytGKoCyj,938800,INR,upi,paid,2026-08-03
order_gx8oDE7uAlOjND,pay_w9V8viacSF3rJX,822900,INR,upi,paid,2026-08-03
order_jySLSouF8tpS02,pay_ZoizTM3dGZUUMN,725700,INR,netbanking,paid,2026-08-03
order_nCt8vgJp5LqWso,pay_Fz2h9gJT942EVl,883900,INR,card,paid,2026-08-03
order_qoTFTsHs1AhBW8,pay_C679CE94JAY8DV,225400,INR,wallet,paid,2026-08-03
order_5wkC0VmLGjZAjq,pay_VNX8fptuDhlaEh,315400,INR,upi,paid,2026-08-04
order_6amRuYmLlBu02w,pay_djsbyqLfWS84rm,170000,INR,card,paid,2026-08-04
order_9filPzeA9v3N6S,pay_w0HHgEPJ69QyiU,215000,INR,card,paid,2026-08-04
order_ANgXqyWNxs9LJt,pay_iIxERptSab32jn,681200,INR,upi,paid,2026-08-04
order_Kr51S8j8EvxgZZ,pay_RfAuA77CsyyuDK,45000,INR,card,paid,2026-08-04
order_Mw6RquqV2AlqR9,pay_6NTKldCeWNp9jc,430800,INR,upi,paid,2026-08-04
order_XvFHXLzlIj7oAQ,pay_AbiYDgGWJZU6xW,293000,INR,wallet,paid,2026-08-04
order_ZlBoppesB1AL0b,pay_ApQV0yvgjWRV5n,859100,INR,wallet,paid,2026-08-04
order_EBWllkG5JrucXl,pay_re2G0QbdDtW2QH,793100,INR,card,paid,2026-08-05
order_HOxl0Qs1wV21qH,pay_ESWL6kfq6Ub12W,593200,INR,card,paid,2026-08-05
order_09YKEQt3yKEvft,pay_L5buz0RP0GzB40,676600,INR,upi,paid,2026-08-06
order_DAgT9E6swPUZUh,pay_V9tTXO73BLkRKd,202500,INR,card,paid,2026-08-06
order_GpW66WQjZJib9Q,pay_zmE3X3MfjaIKQK,120300,INR,netbanking,paid,2026-08-06
order_NQiSsRhkb0a8YB,pay_VMszAUFMRFxdKJ,559400,INR,card,paid,2026-08-06
order_Z4YxbyIlj6citR,pay_JqengRbU27bzpd,809900,INR,card,paid,2026-08-06
order_ZErlZNEZECMAHS,pay_yP2tpfoM9SRy78,897600,INR,card,paid,2026-08-06
order_gmx0XWXtUu2WAN,pay_p0qjU0wAAfNmCU,866700,INR,wallet,paid,2026-08-06
order_0JlDs1rUgdQIzi,pay_P4OpyYGzLzY1Qb,688600,INR,netbanking,paid,2026-08-07
order_E1IlqRMDaLgWLI,pay_ewbjZVro009FrM,704200,INR,card,paid,2026-08-07
order_LJLYDVPXzMxT7f,pay_woZ9nbwzf3dcI7,507000,INR,wallet,paid,2026-08-07
order_W8NR4RNR2sEvFA,pay_3cTk9JC8jX64RY,881100,INR,wallet,paid,2026-08-07
order_YMYL7umnr6d75H,pay_YqXtij5nn7arij,287200,INR,netbanking,paid,2026-08-07
order_cYlZ5yparc6BwP,pay_Zqt2RtfmWsgoGh,352000,INR,upi,paid,2026-08-07
order_rprWgpEG9QkqNu,pay_nnmco1lQznbOUK,371700,INR,wallet,paid,2026-08-07
order_718LZioOxEpRhh,pay_KOF7sqYFHnyib3,126500,INR,card,paid,2026-08-08
order_H2mOgoFUmX8WYb,pay_6A41qGcAmJXWMy,573700,INR,wallet,paid,2026-08-08
order_MjkQdOemfMKSSC,pay_X0TNbHqyQlpoiC,142600,INR,card,refunded,2026-08-08
order_XQTbCJc3zdypNd,pay_LCCQlNblugLIR0,429400,INR,wallet,paid,2026-08-08
order_esaTE9COC3i1h8,pay_PtLCQHdNOBNz2A,209100,INR,card,paid,2026-08-08
