settlement_id,utr,entity_id,entity_type,order_id,payment_id,method,amount_paise,fee_paise,tax_paise,credit_paise,debit_paise,on_hold,settled_at
setl_5tMgG9nNU5nXE6,UTR202343291586,pay_Nr4l89PhGiEj1o,payment,order_9IRNtoYd53pL1Z,pay_Nr4l89PhGiEj1o,netbanking,567700,11354,2044,554302,0,false,2026-08-05
setl_Ckf9d8qpEoo00E,UTR570057189887,pay_AfDkNgoEHfgQlx,payment,order_4NS8DAoepGVju2,pay_AfDkNgoEHfgQlx,card,729900,14598,2628,712674,0,false,2026-08-05
setl_CmtJqckQceF40E,UTR348938960038,pay_w9V8viacSF3rJX,payment,order_gx8oDE7uAlOjND,pay_w9V8viacSF3rJX,upi,822900,0,0,822900,0,false,2026-08-05
setl_K5UlCj5qU45hPq,UTR034336700701,pay_C679CE94JAY8DV,payment,order_qoTFTsHs1AhBW8,pay_C679CE94JAY8DV,wallet,225400,4508,811,220081,0,false,2026-08-05
setl_LdRmUw6wmBcGLL,UTR680146565159,pay_ZoizTM3dGZUUMN,payment,order_jySLSouF8tpS02,pay_ZoizTM3dGZUUMN,netbanking,725700,14514,2613,708573,0,false,2026-08-05
setl_kQ8xksgli8cZiu,UTR372898958472,pay_sPyXLrytGKoCyj,payment,order_GOuvGvFyETRZYX,pay_sPyXLrytGKoCyj,upi,938800,0,0,938800,0,false,2026-08-05
setl_CYdhHfq10o2bpK,UTR761149948850,pay_ApQV0yvgjWRV5n,payment,order_ZlBoppesB1AL0b,pay_ApQV0yvgjWRV5n,wallet,859100,17182,3093,838825,0,false,2026-08-06
setl_Ch2PaLL1RTsR0m,UTR070239244516,pay_iIxERptSab32jn,payment,order_ANgXqyWNxs9LJt,pay_iIxERptSab32jn,upi,681200,0,0,681200,0,false,2026-08-06
setl_DuDUWkBXoB1GHQ,UTR496486076567,pay_6NTKldCeWNp9jc,payment,order_Mw6RquqV2AlqR9,pay_6NTKldCeWNp9jc,upi,430800,0,0,430800,0,false,2026-08-06
setl_U02FpaspKiSSe1,UTR287258583111,pay_RfAuA77CsyyuDK,payment,order_Kr51S8j8EvxgZZ,pay_RfAuA77CsyyuDK,card,45000,900,162,43938,0,false,2026-08-06
setl_U02FpaspKiSSe1,UTR287258583111,pay_djsbyqLfWS84rm,payment,order_6amRuYmLlBu02w,pay_djsbyqLfWS84rm,card,170000,3400,612,165988,0,false,2026-08-06
setl_Vk3FtPyuRBTx5T,UTR167232848084,pay_w0HHgEPJ69QyiU,payment,order_9filPzeA9v3N6S,pay_w0HHgEPJ69QyiU,card,215000,4300,774,209926,0,false,2026-08-06
setl_pydXEu5vnNmbTI,UTR850720753027,pay_AbiYDgGWJZU6xW,payment,order_XvFHXLzlIj7oAQ,pay_AbiYDgGWJZU6xW,wallet,293000,5860,1055,286085,0,false,2026-08-06
setl_pydXEu5vnNmbTI,UTR850720753027,pay_Fz2h9gJT942EVl,payment,order_nCt8vgJp5LqWso,pay_Fz2h9gJT942EVl,card,883900,17678,3182,863040,0,false,2026-08-06
setl_pydXEu5vnNmbTI,UTR850720753027,pay_VNX8fptuDhlaEh,payment,order_5wkC0VmLGjZAjq,pay_VNX8fptuDhlaEh,upi,315400,0,0,315400,0,false,2026-08-06
setl_2dwtbRMBkCA5OH,UTR222038116445,pay_ESWL6kfq6Ub12W,payment,order_HOxl0Qs1wV21qH,pay_ESWL6kfq6Ub12W,card,593200,11864,2136,579200,0,false,2026-08-07
setl_6CuRneuyfR4vzI,UTR743620592843,pay_re2G0QbdDtW2QH,payment,order_EBWllkG5JrucXl,pay_re2G0QbdDtW2QH,card,793100,15862,2855,774383,0,false,2026-08-07
setl_5vWcKngdGwPbf7,UTR135410492981,pay_VMszAUFMRFxdKJ,payment,order_NQiSsRhkb0a8YB,pay_VMszAUFMRFxdKJ,card,559400,11188,2014,546198,0,false,2026-08-10
setl_6LyISbSgVyyVaO,UTR821747792504,pay_JqengRbU27bzpd,payment,order_Z4YxbyIlj6citR,pay_JqengRbU27bzpd,card,809900,16198,2916,790786,0,false,2026-08-10
setl_OgYSpd6iypRNpT,UTR337476402213,pay_L5buz0RP0GzB40,payment,order_09YKEQt3yKEvft,pay_L5buz0RP0GzB40,upi,676600,0,0,676600,0,false,2026-08-10
