txn_id,value_date,description,utr,credit_paise,debit_paise
BNK00001,2026-09-09,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR958710638315,UTR958710638315,433500,0
BNK00002,2026-09-09,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR921283363288,UTR921283363288,252595,0
BNK00003,2026-09-09,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR608503650152,UTR608503650152,341642,0
BNK00004,2026-09-09,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR195048245286,UTR195048245286,556353,0
BNK00005,2026-09-10,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR382792092486,UTR382792092486,426300,0
BNK00006,2026-09-10,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR406653896675,UTR406653896675,452800,0
BNK00007,2026-09-10,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR482844365221,UTR482844365221,100800,0
BNK00008,2026-09-10,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR722417629487,UTR722417629487,637394,0
BNK00009,2026-09-11,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR020405171609,UTR020405171609,665100,0
BNK00010,2026-09-11,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR602318185008,UTR602318185008,289893,0
BNK00011,2026-09-11,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR608628356784,UTR608628356784,386752,0
BNK00012,2026-09-14,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR690864350942,UTR690864350942,119609,0
BNK00013,2026-09-14,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR290147025318,UTR290147025318,514953,0
BNK00014,2026-09-14,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR507036158840,UTR507036158840,279055,0
BNK00015,2026-09-14,RAZORPAY PAYOUT CONSOLIDATED 2026-09-14,,1960806,0
BNK00016,2026-09-14,RAZORPAY PAYOUT CONSOLIDATED 2026-09-14,,825621,0
BNK00017,2026-09-15,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR525804726032,UTR525804726032,17700,0
BNK00018,2026-09-15,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR320311898235,UTR320311898235,609700,0
BNK00019,2026-09-15,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR051861843144,UTR051861843144,58700,0
BNK00020,2026-09-15,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR276215416562,UTR276215416562,896628,0
BNK00021,2026-09-15,NEFT CR RAZORPAY SOFTWARE PVT LTD UTR382230057460,UTR382230057460,586231,0
