order_id,payment_id,amount_paise,currency,method,status,captured_at
order_LkCcxWPQObA4ie,pay_EcPHoI2i1PsIEr,569800,INR,netbanking,paid,2026-09-07
order_PXOwqAvb0MCk5o,pay_opiJnfO1wWzISg,258700,INR,wallet,paid,2026-09-07
order_eLHuJdq8g72TH2,pay_7YFy8ccqhWs32x,433500,INR,upi,paid,2026-09-07
order_r8Sd5xHFtlOCOa,pay_MgGhhx2lmq2bPB,349900,INR,wallet,paid,2026-09-07
order_PPcGiXxMoHGjnf,pay_UkUcsgxpGibhHz,100800,INR,upi,paid,2026-09-08
order_YGRwRk6JoSOE66,pay_2LIahnr6TcNRqY,452800,INR,upi,paid,2026-09-08
order_k1rCTpq5uz58Mt,pay_FbU10rY6K154Ta,426300,INR,upi,paid,2026-09-08
order_rDyzoLFcMIgtuo,pay_DZpXruoZ1Uw4M7,652800,INR,netbanking,paid,2026-09-08
order_9eQRr2Li1wCxtd,pay_Ykjms1lqKgqjrR,665100,INR,upi,paid,2026-09-09
order_Ic9i1roGspJnYO,pay_vkQkCLPlKSOG4C,296900,INR,card,paid,2026-09-09
order_UDvlpCRwF0Kf55,pay_1HpHPa2J9bJdKn,852000,INR,wallet,paid,2026-09-09
order_seOKY10mtEbC3o,pay_uoDUCfFG8xka0d,396100,INR,card,paid,2026-09-09
order_4M9vaJzpU4iwum,pay_R67FnyfpPM6hUH,737400,INR,card,paid,2026-09-10
order_6PjGudrR25eb4R,pay_ivMAmj4hKdgXtL,846500,INR,card,paid,2026-09-10
order_7Z9ijcb2qBWTmW,pay_kHdb2dvEhWIt80,38200,INR,card,refunded,2026-09-10
order_UbqQijYGXI1MVm,pay_XgdV5DyNS1vlk6,418800,INR,card,paid,2026-09-10
order_XWFpGgccwcESuk,pay_ROm9na9cyfGNxn,285800,INR,netbanking,paid,2026-09-10
order_cfJKS3xZCXqtf0,pay_rtMso1DsiktMDV,122500,INR,card,paid,2026-09-10
order_jkI3BO2OfgV6IG,pay_ECHqKs4ZTn8tY6,527400,INR,wallet,paid,2026-09-10
order_49hFGCD9Pdf9uy,pay_JdAeYgM9EuTQIG,412500,INR,upi,paid,2026-09-11
order_4vfvFXomAb1XYx,pay_hgnsl13W37ydjh,24700,INR,wallet,refunded,2026-09-11
order_A5xaiEMYsdPVym,pay_7SEdFOH2Uu81S6,53700,INR,wallet,paid,2026-09-11
order_Pq3GCbMi89ucHk,pay_kKp8vwYy1bY4Hc,17700,INR,upi,paid,2026-09-11
order_RkY74NTqYCqsPf,pay_eQXDzBLgfzE4tK,185000,INR,card,paid,2026-09-11
order_SvS15ilbCmyxz1,pay_Y9M7X1BQUlSljH,36000,INR,upi,paid,2026-09-11
order_XcHt2wHxhnbTQg,pay_dLrIKwC8UgVTFq,230000,INR,card,paid,2026-09-11
order_bIZyaQIz7viijR,pay_xFUWxMDVOqS6tW,692400,INR,netbanking,paid,2026-09-11
order_hbtMt3T6mWRJE9,pay_4q3XIsNNdzAyHi,428400,INR,wallet,paid,2026-09-11
order_mT9cyiIcrt0wWt,pay_nBpUsMIAOC3Gu2,45000,INR,card,paid,2026-09-11
order_nojE2UGlXga6dW,pay_cGXKa9dKhy8xZD,600400,INR,netbanking,paid,2026-09-11
order_wSG8AqzlznLzXN,pay_UbctiT2j6DkeDt,373500,INR,netbanking,paid,2026-09-11
order_0SHkHRes4l9dQU,pay_vrJsTX1dnBkVoj,918300,INR,wallet,paid,2026-09-12
order_3WyBJkIzmKGLoy,pay_yFEG7KLRinqxKR,662900,INR,netbanking,paid,2026-09-12
order_BQzRnVvRz4pt38,pay_9lht52y0bEbC9p,938500,INR,card,paid,2026-09-12
order_FH9oKdD1ifhjsE,pay_UfBIDGxqmG0186,706500,INR,netbanking,paid,2026-09-12
order_NNT0aSjUQsqdDh,pay_DLH7YGKg4duxop,58700,INR,upi,paid,2026-09-12
order_NmSaBjqOcol1Jz,pay_9a0tupemOfdaZs,648900,INR,wallet,paid,2026-09-12
order_WW5soPLGFPI8aO,pay_ecUpu7EsmqtcGh,609700,INR,upi,paid,2026-09-12
order_hhnmhDSYYEOtby,pay_QM4XnEfP4Z7PMh,728000,INR,netbanking,paid,2026-09-13
order_6nZ9gBWA9JS9d7,pay_trZqL3jVD8vqrX,40000,INR,upi,paid,2026-09-14
order_6vrfDl2khvbVPM,pay_sqKL3kb9RHJSnj,356000,INR,netbanking,paid,2026-09-14
order_7sM1covhthpkp6,pay_6TgrrTrmtSObqo,272200,INR,wallet,paid,2026-09-14
order_FxrLW54WSwZbSo,pay_rWuWglCeUwYRjT,150000,INR,card,paid,2026-09-14
order_IcAlmhGytnF8YO,pay_Y3DlffcpWrRHFd,102600,INR,netbanking,paid,2026-09-14
order_NcKhcSalpXKe4P,pay_ZN6rlrXtxememK,90000,INR,card,paid,2026-09-14
order_WKfjW6Nensc6Yp,pay_JNWDKtCFyTPhr6,240000,INR,card,paid,2026-09-14
order_YjfZQZKcmQwojC,pay_OCHDbNBw0GgPAP,897900,INR,upi,paid,2026-09-14
order_YvWiTtnFC38nWO,pay_ecE8u0RknQjs4T,584200,INR,card,paid,2026-09-14
order_sVGcRCI40dZlWm,pay_1ksijMOEH4GSVs,79200,INR,wallet,paid,2026-09-14
order_C2r4GNusewgS24,pay_jY8fpdBUHhuXEc,164400,INR,wallet,paid,2026-09-15
order_Dq8QHHyeZtsEGr,pay_Kk6cKl4QkFbGFc,519800,INR,upi,paid,2026-09-15
order_f2uqFcg6j3hZtp,pay_FGaHJnOcPrCSWe,545100,INR,upi,paid,2026-09-15
order_vglIAZ3j7vewrG,pay_V8A9lEg2w3q9Yo,876700,INR,card,paid,2026-09-15
order_yMzglc4M0sVinI,pay_H08t3o0tR68R1Y,665700,INR,upi,paid,2026-09-15
order_9ZMqJD7GpH7Xm4,pay_dMyUE6tW28g104,859000,INR,upi,paid,2026-09-16
order_LPYOBA9s5yakT5,pay_2806lXV2YGwBnC,507300,INR,netbanking,paid,2026-09-16
order_SzWCr9CAieRYhh,pay_9mtyzlzoQ09bPL,688900,INR,netbanking,paid,2026-09-16
order_0OwxnDoEVr5xYu,pay_viOFpvD6L3v5Z5,129000,INR,wallet,paid,2026-09-17
order_7mmOckENDaFWSJ,pay_xsyJDM7H2UO0oQ,566700,INR,wallet,paid,2026-09-17
order_D7lbQMXwAecjdd,pay_bnhm0PuvTbSzpE,650100,INR,upi,paid,2026-09-17
order_ISZ7maXmy76Z2f,pay_qdYwZjxc7KeFwz,455000,INR,netbanking,paid,2026-09-17
order_Xb3lhlpKI3Bwms,pay_JdHy41BWQHoVfa,479400,INR,wallet,paid,2026-09-17
order_kabuuNOqmidIP5,pay_VPWxQ3Icba9sqt,394300,INR,wallet,paid,2026-09-17
order_s5hOsmxJ8Aupj1,pay_9eFOFHVzBYKE5j,712100,INR,card,paid,2026-09-17
order_ur8RmMXrisK3zj,pay_9S4sSidpK6OyYu,926500,INR,netbanking,paid,2026-09-17
order_y4SWfUuPT3P8s1,pay_r7iIRxB44MCyz4,617600,INR,netbanking,paid,2026-09-17
order_4FSumDOI1CakM0,pay_5XheAe14hCu0o9,618400,INR,card,paid,2026-09-18
order_5F55q3N0dkR4VG,pay_gtsTiVR9zINfal,21800,INR,wallet,refunded,2026-09-18
order_78FLhCRgxUf313,pay_2VI6A3lWPI0ghm,83200,INR,upi,paid,2026-09-18
order_hT9JSostQzYUZ5,pay_21TZgSkvseXvyN,15600,INR,upi,paid,2026-09-18
order_jM7HAX5POLiEdy,pay_FnlI2eVRgS3mHr,348400,INR,card,paid,2026-09-18
order_YBrtRs4kHu5Or6,pay_uASUa2QlJsceHf,845700,INR,card,paid,2026-09-19
