settlement_id,utr,entity_id,entity_type,order_id,payment_id,method,amount_paise,fee_paise,tax_paise,credit_paise,debit_paise,on_hold,settled_at
setl_6OH2opum3vI6Gy,UTR921283363288,pay_opiJnfO1wWzISg,payment,order_PXOwqAvb0MCk5o,pay_opiJnfO1wWzISg,wallet,258700,5174,931,252595,0,false,2026-09-09
setl_OsF4zVCwABNlZV,UTR608503650152,pay_MgGhhx2lmq2bPB,payment,order_r8Sd5xHFtlOCOa,pay_MgGhhx2lmq2bPB,wallet,349900,6998,1260,341642,0,false,2026-09-09
setl_SVE3cp7KgWGBeg,UTR195048245286,pay_EcPHoI2i1PsIEr,payment,order_LkCcxWPQObA4ie,pay_EcPHoI2i1PsIEr,netbanking,569800,11396,2051,556353,0,false,2026-09-09
setl_VkSmAGAgGhN35H,UTR958710638315,pay_7YFy8ccqhWs32x,payment,order_eLHuJdq8g72TH2,pay_7YFy8ccqhWs32x,upi,433500,0,0,433500,0,false,2026-09-09
setl_JnWKyHMqNdAJYk,UTR406653896675,pay_2LIahnr6TcNRqY,payment,order_YGRwRk6JoSOE66,pay_2LIahnr6TcNRqY,upi,452800,0,0,452800,0,false,2026-09-10
setl_OaGknlH7qHnoe8,UTR482844365221,pay_UkUcsgxpGibhHz,payment,order_PPcGiXxMoHGjnf,pay_UkUcsgxpGibhHz,upi,100800,0,0,100800,0,false,2026-09-10
setl_i4YIyVDQvJxQ1O,UTR722417629487,pay_DZpXruoZ1Uw4M7,payment,order_rDyzoLFcMIgtuo,pay_DZpXruoZ1Uw4M7,netbanking,652800,13056,2350,637394,0,false,2026-09-10
setl_sFPjlF2DTAs3tN,UTR382792092486,pay_FbU10rY6K154Ta,payment,order_k1rCTpq5uz58Mt,pay_FbU10rY6K154Ta,upi,426300,0,0,426300,0,false,2026-09-10
setl_TIS9FvE4zQMBQu,UTR608628356784,pay_uoDUCfFG8xka0d,payment,order_seOKY10mtEbC3o,pay_uoDUCfFG8xka0d,card,396100,7922,1426,386752,0,false,2026-09-11
setl_kWdvEP3DpsvVDg,UTR602318185008,pay_vkQkCLPlKSOG4C,payment,order_Ic9i1roGspJnYO,pay_vkQkCLPlKSOG4C,card,296900,5938,1069,289893,0,false,2026-09-11
setl_vpiem3ZNB9ab3D,UTR020405171609,pay_Ykjms1lqKgqjrR,payment,order_9eQRr2Li1wCxtd,pay_Ykjms1lqKgqjrR,upi,665100,0,0,665100,0,false,2026-09-11
setl_FbeJV8QqwUODXT,UTR168036419535,pay_ivMAmj4hKdgXtL,payment,order_6PjGudrR25eb4R,pay_ivMAmj4hKdgXtL,card,846500,16930,3047,826523,0,false,2026-09-14
setl_FbeJV8QqwUODXT,UTR168036419535,pay_kHdb2dvEhWIt80,payment,order_7Z9ijcb2qBWTmW,pay_kHdb2dvEhWIt80,card,38200,764,138,37298,0,false,2026-09-14
setl_FbeJV8QqwUODXT,UTR168036419535,rfnd_N7UbgWhwlFXkA9,refund,order_7Z9ijcb2qBWTmW,pay_kHdb2dvEhWIt80,card,38200,0,0,0,38200,false,2026-09-14
setl_OE8w2mI8oxQCLv,UTR385865023403,pay_1HpHPa2J9bJdKn,payment,order_UDvlpCRwF0Kf55,pay_1HpHPa2J9bJdKn,wallet,852000,17040,3067,831893,0,false,2026-09-14
setl_OE8w2mI8oxQCLv,UTR385865023403,pay_R67FnyfpPM6hUH,payment,order_4M9vaJzpU4iwum,pay_R67FnyfpPM6hUH,card,737400,14748,2655,719997,0,false,2026-09-14
setl_OE8w2mI8oxQCLv,UTR385865023403,pay_XgdV5DyNS1vlk6,payment,order_UbqQijYGXI1MVm,pay_XgdV5DyNS1vlk6,card,418800,8376,1508,408916,0,false,2026-09-14
setl_swn27jefavCkwT,UTR507036158840,pay_ROm9na9cyfGNxn,payment,order_XWFpGgccwcESuk,pay_ROm9na9cyfGNxn,netbanking,285800,5716,1029,279055,0,false,2026-09-14
setl_uE9ku0q7CDqBfk,UTR690864350942,pay_rtMso1DsiktMDV,payment,order_cfJKS3xZCXqtf0,pay_rtMso1DsiktMDV,card,122500,2450,441,119609,0,false,2026-09-14
setl_uiyJxvoFAjN11N,UTR290147025318,pay_ECHqKs4ZTn8tY6,payment,order_jkI3BO2OfgV6IG,pay_ECHqKs4ZTn8tY6,wallet,527400,10548,1899,514953,0,false,2026-09-14
setl_5fz19DqWEyO1lh,UTR122337373042,pay_9a0tupemOfdaZs,payment,order_NmSaBjqOcol1Jz,pay_9a0tupemOfdaZs,wallet,648900,12978,2336,633586,0,false,2026-09-15
setl_AFtK2vnjjChoz0,UTR005766661686,pay_JdAeYgM9EuTQIG,payment,order_49hFGCD9Pdf9uy,pay_JdAeYgM9EuTQIG,upi,412500,0,0,412500,0,false,2026-09-15
